source_field,raw_label,category,clinical_domain,specificity,analysis_role,terminology_context,status,review_note
product_problems_cleaned_json,Material Rupture,rupture,device_integrity,specific,included,device_problem,approved_v1,Specific reported device problem; not incidence or confirmed causality
product_problems_cleaned_json,Fluid/Blood Leak,leak_or_deflation,device_integrity,moderate,included,device_problem,approved_v1,Broad leak term retained separately from gel leak
product_problems_cleaned_json,Defective Component,device_defect,device_integrity,nonspecific,included,device_problem,approved_v1,Broad device defect
product_problems_cleaned_json,Defective Device,device_defect,device_integrity,nonspecific,included,device_problem,approved_v1,Broad device defect
product_problems_cleaned_json,Patient-Device Incompatibility,patient_device_incompatibility,biocompatibility,moderate,included,device_problem,approved_v1,Reported incompatibility
product_problems_cleaned_json,Adverse Event Without Identified Device or Use Problem,no_identified_device_problem,unclassified,nonspecific,informational,device_problem,approved_v2,Does not identify a device or use problem
patient_problems_cleaned_json,Capsular Contracture,capsular_contracture,local_complication,specific,included,health_effect,approved_v1,Specific reported condition
patient_problems_cleaned_json,Pain,pain,patient_symptom,moderate,included,health_effect,approved_v1,General pain term
patient_problems_cleaned_json,Wrinkling,wrinkling_or_rippling,local_complication,moderate,included,health_effect,approved_v1,Reported local finding
patient_problems_cleaned_json,Failure of Implant,implant_failure_nonspecific,device_integrity,nonspecific,included,legacy_health_effect,approved_v2,Legacy broad term retired by IMDRF in 2025; do not infer rupture
patient_problems_cleaned_json,No Code Available,unclassified_patient_problem,unclassified,nonspecific,unclassified,health_effect,approved_v2,No specific health-effect classification available
product_problems_cleaned_json,Device Appears to Trigger Rejection,device_triggered_rejection,biocompatibility,moderate,included,device_problem,approved_v2,Reported device rejection interaction
patient_problems_cleaned_json,Deformity/ Disfigurement,deformity_disfigurement,structural_aesthetic_outcome,specific,included,health_effect,approved_v2,Alteration of appearance shape size or alignment
patient_problems_cleaned_json,Seroma,seroma,fluid_collection,specific,included,health_effect,approved_v2,Reported serum collection
patient_problems_cleaned_json,"Appropriate Clinical Signs, Symptoms and Conditions Term/Code Not Available",unclassified_patient_condition,unclassified,nonspecific,unclassified,health_effect,approved_v2,Health effect cannot be represented by a more specific available code
product_problems_cleaned_json,Patient Device Interaction Problem,patient_device_interaction,device_patient_interaction,nonspecific,included,device_problem,approved_v2,Broad interaction problem
product_problems_cleaned_json,Migration,device_migration,device_position,specific,included,device_problem,approved_v2,Reported device migration
patient_problems_cleaned_json,"No Clinical Signs, Symptoms or Conditions",no_clinical_signs,no_observed_health_effect,specific,informational,health_effect,approved_v2,No patient involvement or observable clinical symptoms identified
patient_problems_cleaned_json,Breast Discomfort/Pain,pain,patient_symptom,specific,included,health_effect,approved_v2,Breast-localized discomfort or pain
product_problems_cleaned_json,Gel Leak,gel_leak,device_integrity,specific,included,device_problem,approved_v2,Specific gel leak term retained separately
patient_problems_cleaned_json,Swollen Lymph Nodes/Glands,lymphadenopathy,lymphatic_system,specific,included,health_effect,approved_v2,Enlarged lymph-node finding
patient_problems_cleaned_json,Unspecified Infection,infection,infection,moderate,included,health_effect,approved_v2,Infection type unspecified
patient_problems_cleaned_json,Insufficient Information,insufficient_information,unclassified,nonspecific,informational,health_effect,approved_v2,Unclear whether a health effect occurred or insufficient detail
patient_problems_cleaned_json,Granuloma,granuloma,inflammatory_response,specific,included,health_effect,approved_v2,Reported granulomatous finding
patient_problems_cleaned_json,Rupture,reported_rupture_unspecified,health_effect_unspecified,moderate,included,health_effect,approved_v2,Patient-field rupture must not be assumed to be implant material rupture
product_problems_cleaned_json,No Apparent Adverse Event,no_apparent_adverse_event,no_observed_adverse_event,specific,informational,device_problem,approved_v2,No apparent adverse event
product_problems_cleaned_json,Appropriate Device Problem Term/Code Not Available,unclassified_device_problem,unclassified,nonspecific,unclassified,device_problem,approved_v2,No specific available device-problem term
patient_problems_cleaned_json,Breast Mass,breast_mass,breast_finding,specific,included,health_effect,approved_v2,Reported breast mass; malignancy not inferred
patient_problems_cleaned_json,Autoimmune Disorder,autoimmune_disorder,systemic_condition,moderate,included,health_effect,approved_v2,Reported autoimmune disorder; causality not inferred
product_problems_cleaned_json,Deflation Problem,deflation,device_integrity,specific,included,device_problem,approved_v2,Specific deflation problem
patient_problems_cleaned_json,Local Reaction,local_reaction,inflammatory_response,nonspecific,included,health_effect,approved_v2,Broad local reaction
patient_problems_cleaned_json,Lymphoma,lymphoma_unspecified,neoplasm,specific,included,health_effect,approved_v2,General lymphoma term; not classified as BIA-ALCL
patient_problems_cleaned_json,Post Operative Wound Infection,postoperative_wound_infection,infection,specific,included,health_effect,approved_v3,Infection of a surgical incision; reported association only
product_problems_cleaned_json,Break,device_breakage,device_integrity,specific,included,device_problem,approved_v3,Reported physical break of device or component
patient_problems_cleaned_json,Hematoma,hematoma,bleeding_complication,specific,included,health_effect,approved_v3,Localized collection of blood
patient_problems_cleaned_json,Fatigue,fatigue,systemic_symptom,moderate,included,health_effect,approved_v3,Reported systemic symptom; etiology not inferred
patient_problems_cleaned_json,Cyst(s),cyst,breast_finding,moderate,included,health_effect,approved_v3,Sac-like lesion; location and content not inferred
patient_problems_cleaned_json,Paresthesia,paresthesia,nervous_system,specific,included,health_effect,approved_v3,Reported abnormal skin sensation
patient_problems_cleaned_json,Swollen Lymph Nodes,lymphadenopathy,lymphatic_system,specific,included,health_effect,approved_v3,Synonym mapped to swollen lymph nodes or glands
product_problems_cleaned_json,Malposition of Device,device_malposition,device_position,specific,included,device_problem,approved_v3,Device reported in an incorrect position
patient_problems_cleaned_json,Necrosis,tissue_necrosis,tissue_injury,specific,included,health_effect,approved_v3,Reported dead skin or tissue; cause not inferred
patient_problems_cleaned_json,Breast Implant Associated Anaplastic Large Cell Lymphoma (BIA ALCL),bia_alcl,neoplasm,specific,included,health_effect,approved_v3,Specific BIA-ALCL term retained separately from generic lymphoma
patient_problems_cleaned_json,Impaired Healing,impaired_wound_healing,wound_healing,moderate,included,health_effect,approved_v3,Reported impaired healing without inferred mechanism
patient_problems_cleaned_json,Anxiety,anxiety,psychological_condition,specific,included,health_effect,approved_v3,Reported anxiety; causality not inferred
patient_problems_cleaned_json,Wound Dehiscence,wound_dehiscence,wound_healing,specific,included,health_effect,approved_v3,Reported separation of wound edges
patient_problems_cleaned_json,Crushing Injury,crushing_injury,traumatic_injury,specific,included,health_effect,approved_v3,Traumatic compression term retained as coded
patient_problems_cleaned_json,Cancer,cancer_unspecified,neoplasm,nonspecific,included,health_effect,approved_v3,Malignancy type and relationship not inferred
patient_problems_cleaned_json,Inflammation,inflammation,inflammatory_response,nonspecific,included,health_effect,approved_v3,Broad inflammatory finding
product_problems_cleaned_json,Device Handling Problem,device_handling_problem,device_handling,moderate,included,device_problem,approved_v3,Handling problem without inferred operator fault
patient_problems_cleaned_json,Headache,headache,nervous_system,specific,included,health_effect,approved_v3,Reported headache; etiology not inferred
patient_problems_cleaned_json,Skin Inflammation/ Irritation,skin_inflammation_irritation,skin_subcutaneous_tissue,moderate,included,health_effect,approved_v3,Localized skin inflammatory or irritation term
patient_problems_cleaned_json,Autoimmune Reaction,autoimmune_reaction,systemic_condition,moderate,included,health_effect,approved_v3,Reported autoimmune reaction; implant causality not inferred
patient_problems_cleaned_json,Hair Loss,hair_loss,skin_subcutaneous_tissue,specific,included,health_effect,approved_v3,Reported hair loss
patient_problems_cleaned_json,Calcium Deposits/Calcification,calcification,local_complication,specific,included,health_effect,approved_v3,Reported calcium deposition or calcification
patient_problems_cleaned_json,Arthralgia,arthralgia,musculoskeletal_system,specific,included,health_effect,approved_v3,Reported joint pain
product_problems_cleaned_json,Insufficient Device Problem Information,insufficient_device_problem_information,unclassified,nonspecific,informational,device_problem,approved_v3,Insufficient information to classify a specific device problem
patient_problems_cleaned_json,Foreign Body Reaction,foreign_body_reaction,inflammatory_response,specific,included,health_effect,approved_v3,Inflammatory reaction to exogenous material; causality not independently confirmed

